Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header
What is on and in my Right Breast? (photo),"April 12, 2013",Connecticut,"My PS Has No Idea and Apparently 2 Radiologist, 2 Other PS and 1 Oncologist Have No Idea? Radiation done in 2006, Breast implants on both and reconstruction to the right breast were done 2008. I have had 2 returning surgery's to correct issues. December 7, 2012 being my most recent and this is my result after 16 weeks and 2 rounds of antibiotics. I was just told to begin another round.",What is on and in my Right Breast? (photo)
Is it unusual for a breast to undergo these changes over 3 years after being treated?,"January 24, 2014",,"I pu saline implants in 2003(I was 37). In '09 diagnosed DCIS stage 0 & had lumpectomy & radiation. I was told that the radiation could possibly slightly harden or weaken my implant. No problem at all at time of radiation. This past summer, I noticed that the treated breast looked and felt smaller. the implant is intact. Surg said shrinkage is from the radiation, would not recom the new larger implants I was hoping for. his recommendation was to bring the larger size down to equal the radiated breast.",Is it unusual for a breast to undergo these changes over 3 years after being treated?
Trying to find very skilled surgeon for recreating the inframmamary fold?,"January 16, 2014",,"i need to have a reconstruction surgery to have a internal bra sling, and my inframmamary fold recreated.",Trying to find very skilled surgeon for recreating the inframmamary fold?
I am 37 and have had a previous lumpectomy then radiation. What's my best option for reconstruction after double mastectomy?,"January 16, 2014",,I am unsure what to do. it has been 3 years since my radiation and chemo. My mother now has breast cancer and I have chosen the mastectomy as my reoccurrence rate has increased. My surgery date is Feb 24 and need to make a decision about reconstruction. should I do expanders on both with risk of capsular contracture or just expand the non radiated breast and wait 6 months to see how the radiated breast heals. if so what is the best reconstructive choice for that side......,I am 37 and have had a previous lumpectomy then radiation. What's my best option for reconstruction after double mastectomy?
I am a 49 who had breast cancer.Can I still have implants after radiation?,"January 17, 2014","Commerce, GA",,I am a 49 who had breast cancer.Can I still have implants after radiation?
"I am scheduled for a mastectomy soon, and I am having trouble with implant sizing. May you please make suggestions? (photo)","January 10, 2014",GA,"I used to weigh 400lb and I have lost 157lbs and have been at a stable weigh for 2 years. I am happy with where I am at and I carry my weight very well. I have always had decent sized breast and I am very concerned that if my breast are too small...I will not look portioned like I do now. I am 5'7 and 31 years old size 38DD-40 D( I have DCIS) I meet with a plastic surgeon in a week, after doing some research ... I am concerned that 800 cc implants will not be big enough to keep me where I am at.","I am scheduled for a mastectomy soon, and I am having trouble with implant sizing. May you please make suggestions? (photo)"
"After antibiotic for infected incision, my symptoms are back again this time with pain. What can I do? (photo)","January 21, 2014",,"2 months after breast reconstruction surgery my left breast had a pin size hole in the incision and was leaking pus. the doctor put me on antibiotics. but a few days later it started again. this time with mild pain as well. I had chemo , hersepton, then expanders then in plants I was not a candidate for flap and do to heart muscle damage from chemo I could not have the other option.","After antibiotic for infected incision, my symptoms are back again this time with pain. What can I do? (photo)"
Can I get a DIEP or SAG reconstruction after a mini tummy tuck?,"February 1, 2014","Montana, MT","I'm one year past chemo, 9 months past rads from stage III ILC. I had immediate one stage recon but it failed less than 2 months later. About 5 years ago I had a mini-tummy tuck. Is there any possible way of a DIEP or SAG reconstruction? If it's possible after an abdominal C-section why not mini-tummy tuck? I just want to use the loose skin and fat not muscle. I had a pretty lousy mini and still plenty of skin available.",Can I get a DIEP or SAG reconstruction after a mini tummy tuck?
I have radiation dermatitis after radiation therapy. Can I still get breast reconstruction using DEIF procedure or implants?,"March 4, 2014","Houston, TX",Went thru radiation after chemo and developed radiation dermatitis. Tried a corticosteroid but it did not work. It has been six months since radiation was completed and the dermatitis is still there. It is right under where the breast used to be (currently have expanders). Will I still be able to get a breast reconstruction.,I have radiation dermatitis after radiation therapy. Can I still get breast reconstruction using DEIF procedure or implants?
Reconstruction After Cancer. How Do I Find My Surgeon?,"June 13, 2012","Los Angeles, CA",I was diagnosed with triple-negative breast cancer had a partial mastectomy & will recieve chemo for 8 weeks. Pathology was node negative + no evidence of lymphatic involvement but due to the fact that I have a number of risk factors for reccurence I will also have a prophelatic bi-lateral mastectomy. How do I find a Cosmetic Surgeon who does this type of reconstruction surgery and what type of reconstruction yields the best cosmetic results? I assume I'll need a Surgical Oncologist as well,Reconstruction After Cancer. How Do I Find My Surgeon?
