Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header,Question Type,Tag
Why would a lat flap reconstruction fail? Plastic surgeon is not returning calls or sending records to other doctors.,3-May-17,"Shavertown, pa ",Had an attempted Lat flap breast reconstruction that went necrosis with in one week. The surgeon had to remove everything and I am now left with an open wound that has grown in size. I have also been hospitalized for a pe with a post op infection two weeks after removal surgery. I was 2 months out from radiation and the surgeon said he did not like the blood flow in my muscle during surgery but did not think any of this would cause it to fail. Now I am stuck with questions and no answers.,Why would a lat flap reconstruction fail? Plastic surgeon is not returning calls or sending records to other doctors.,After Procedure Only,options
Breast inflammation after double mastectomy and reconstruction,22-Jun-17,"Miami Beach, FL","am i taking a risk if I fly to france with breast cellulitis after double mastectomy and reconstruction? Is exposure to heat or sun is bad? None of all the doctors that I have seen know if I have cellulitis or not for the redness where I have alloderm comes and goes without treatment, I have no fever and blood test shows an inflammation that comes and goes as well... I am lost please help me",Breast inflammation after double mastectomy and reconstruction,After Procedure Only,options
"Double mastectomy with immediate reconstruction wounds not healing, is this normal? (Photo)",1-Aug-17,"Billings, MT","I had a double mastectomy with immediate reconstruction on 6-13, on 7-13 my surgeon cut out flesh that was not healing, and stitched me up, then on 7-31, nurse pulled stitches and picked out the scab! Next day, it was opened up again, other side has an open wound too, always put on ointment, they are very gross looking and sometimes smell bad. Should I call, even though it has been only a day since they took out stitches?","Double mastectomy with immediate reconstruction wounds not healing, is this normal? (Photo)",After Procedure Only,options
Should my implant be migrating towards my collarbone 3 months after surgery? (Photo),14-Jul-17,"Douglasville, GA",Im 3 months post op and my left implant is moving up to my collar bone and towards my right breast close to the center of my chestBreast Cancer patient had double mastectomy with reconstrution right after. The left breast had the cancer a lot of skin was removed. Im concerned that its moving up instead of down and its sore to touch near my collarbone.,Should my implant be migrating towards my collarbone 3 months after surgery? (Photo),After Procedure Only,options
"Tightness, Pulling and Pain After Breast Reconstruction- What Can I Do?",1-Oct-11,"Bernville, PA","I had reconstruction with textured silicone implants April 2011. I had continued tightness across my chest, with pulling sensations that did not get better for over 4 months. I had the implants switched for smooth silicone, and now, 2 months later I still have tightness and pulling. It feels like the muscles at top of implant just wont loosen up. I have these feelings every day, all day and am constantly aware of my implants. I am trying Singulair but so far, no beneficial result.","Tightness, Pulling and Pain After Breast Reconstruction- What Can I Do?",After Procedure Only,options
"After PBM & reconstruction with Natrelle 410, 690cc, extra full projection, under muscle. Final results are really bad (Photo)",7-Aug-17,"New York, NY","My breasts are square looking, saggy, lots of loose/extra skin under and around the breasts, ripples, and in general they remind me more of a little muscle than a sexy breast. I went back to my PS and he suggested more fat grafting to fill the lose skin (already had one round). I saw another surgeon that suggested a new implant (Inspira cohesive round) and he will also trim all the loose skin and tighten everything. I am not sure which surgery plan would work better & best for me. Thank you","After PBM & reconstruction with Natrelle 410, 690cc, extra full projection, under muscle. Final results are really bad (Photo)",After Procedure Only,options
Unilateral mastectomy reconstruction. Is this the best I can be? (Photo),2-Jan-17,"Denver, CO","In 2013, I had simple mastectomy to left breast for DCIS...no rads, meds. In 2015, I had three delayed reconstruction surgeries: tissue expander/tissue expander implant transfer & mastopexy with implant to contralateral breast/nipple reconstruction with skate flap. In 2016, I had contralateral mastopexy breast revision for sagging. No tattoos. Is this the best I can be? Any suggestions to look better with another lift? With my light nipple coloring, would tattooing look too fake?",Unilateral mastectomy reconstruction. Is this the best I can be? (Photo),After Procedure Only,options
Why do I keep getting a recurring infection after Mastectomy And Reconstructive Surgery? Going on 2 years post-op now.,9-Jan-17,"Peoria, AZ","I had a profalactic mastectomy in March 2015, 6 weeks later infection in left breast. Had surgery to remove and cleanse inside w/new implant. 5 wks later got infection. Did same thing we did with left, but it has returned several times after removing, cleansing, IV antibiotics . We removed the breast for 6 months. Oct 2016 expander added. Dec 2016 implant. 2 weeks later another infection. Gel implants, Help??",Why do I keep getting a recurring infection after Mastectomy And Reconstructive Surgery? Going on 2 years post-op now.,After Procedure Only,options
Case study! breast reconstruction. (Photos),11-Jan-17,"United Kingdom, GB","Hi I have posted my case before and had some good feedback . Now that I have removed my breast implants I would like some advise from top doctor that may are experieced in brest reconstruction, Here is some pictures before and after breast removal. I want to know what can be done to repair my breast and give me a good result. what would involve and what would be the average cost if its possible.",Case study! breast reconstruction. (Photos),After Procedure Only,options
I had DIEP flap reconstruction with implants. Where they cut around my waist still hurts. Like it's numb.,17-Jan-17,"Indianapolis, IN",My surgery was 2 years in March. I weighed 107 when it was done. I still have a numbing pain around the incision.Will this stay the rest of my life. What can I do to make it not hurt as bad? Alsoi get pain that goes from my arm pit down my arm when I stretch to far. It last 5-10 minutes.,I had DIEP flap reconstruction with implants. Where they cut around my waist still hurts. Like it's numb.,After Procedure Only,options
Is it possible to have flap surgery twice?,22-Jan-17,"Catonsville, MD","I had a mastectomy on Nov 5, 2015 followed by flap reconstruction. All went well until after I finished radiation when the breast swelled and developed seromas. It was drained a few months ago, lots of fluid was removed. When I went in to have the other breast enlarged to match the breast, that was affected by the cancer, the surgeon found that I had too much fluid in the right breast and drained it. Now the right breast is gone, flat and still draining 5 days later. Is the only solution to have implants?",Is it possible to have flap surgery twice?,After Procedure Only,options
